CHRM;START;END;DELTALK
chrI;375;485;-1,475273061
chrI;1992;2143;-1,145624862
chrI;3900;4046;-1,42891971
chrI;7310;7448;-1,099214006
chrI;19698;19849;-1,170720688
chrI;24106;24256;-1,002800143
chrI;24106;24267;-1,371408779
chrI;24156;24264;-1,22036164
chrI;24156;24265;-1,199955994
chrI;24156;24266;-1,664918922
chrI;24156;24267;-1,434214917
chrI;25658;25790;-0,89778306
chrI;25658;25797;-1,018529414
chrI;25671;25797;-0,906695696
chrI;25885;26057;-1,008848565
chrI;26200;26329;-1,574518143
chrI;26200;26330;-1,094609367
chrI;26200;26337;-1,169239802
chrI;26204;26330;-1,046753163
chrI;26211;26330;-0,77735452
chrI;26268;26418;-1,229716689
chrI;26290;26465;-1,827207551
chrI;26425;26573;-1,091924323
chrI;26560;26708;-1,251179066
chrI;26695;26843;-1,090783865
chrI;27347;27495;-1,357301342
chrI;28545;28653;-0,815770683
chrI;28558;28705;-1,585279852
chrI;28865;28996;-1,004955603
chrI;31670;31815;-1,382405277
chrI;32825;32968;-1,230034943
chrI;38266;38455;-1,633713958
chrI;38266;38455;-1,633713958
chrI;39356;39504;-1,28106733
chrI;44014;44169;-1,329113517
chrI;48679;48833;-1,364356893
chrI;52107;52211;-0,997609421
chrI;52108;52200;-1,194494905
chrI;52108;52202;-1,115050422
chrI;52108;52203;-1,203469923
chrI;52108;52204;-1,174333328
chrI;52108;52205;-1,008989827
chrI;52108;52206;-1,232433255
chrI;52108;52207;-1,533375011
chrI;52108;52208;-0,882098917
chrI;52108;52209;-1,127128482
chrI;52108;52210;-1,320587152
chrI;52108;52211;-1,00632145
chrI;52112;52211;-1,312463337
chrI;54178;54332;-1,179031036
chrI;56067;56218;-1,391434877
chrI;57573;57723;-1,176476393
chrI;57573;57723;-1,176476393
chrI;57985;58142;-1,491896053
chrI;58357;58529;-1,395417578
chrI;59835;59985;-1,525981569
chrI;60956;61114;-1,201260038
chrI;61139;61253;-1,514954291
chrI;62731;62859;-1,118454861
chrI;73815;73966;-1,456101359
chrI;75929;76089;-0,635190429
chrI;77820;77969;-1,329929447
chrI;78867;79013;-1,476014857
chrI;79075;79223;-1,445857802
chrI;79820;79919;-0,868345432
chrI;80712;80877;-1,102806447
chrI;83877;84031;-1,014732041
