Name;chrom;start;end;position;peakheight;nc;occ;fuzziness
N1:192;chr01;119;265;;1,11;3;80,5;41
N1:382;chr01;309;455;;3,61;5;71;21,916
N1:630;chr01;557;703;;4,31;5;62;10,756
N1:872;chr01;799;945;;3,81;5;65;15,643
N1:1033;chr01;960;1106;;3,44;4;52,5;11,325
N1:1191;chr01;1118;1264;;2,99;3;100;1,732
N1:1340;chr01;1267;1413;;2,05;3;50;24,007
N1:1585;chr01;1512;1658;"+5*:YAL068C; ";3,83;4;50;5,916
N1:1902;chr01;1829;1975;"+3:YAL068C; ";2,67;4;50;35,968
N1:2081;chr01;2008;2154;"+2:YAL068C; ";2,86;4;50;37,206
N1:2241;chr01;2168;2314;"+1:YAL068C; -1:YAL067W-A; ";2,76;3;100;8,544
N1:2396;chr01;2323;2469;"-1:YAL068C; +1:YAL067W-A; ";3,74;4;63,5;7,32
N1:2671;chr01;2598;2744;"+3:YAL067W-A; ";4,92;5;98,33;3,362
N1:2835;chr01;2762;2908;"+4*:YAL067W-A; ";5,04;6;87,5;12,453
N1:3028;chr01;2955;3101;;4,36;6;87,25;18,984
N1:3213;chr01;3140;3286;;4,59;6;83,75;30,012
N1:3370;chr01;3297;3443;;3,77;4;100;6,702
N1:3609;chr01;3536;3682;;2,05;5;82;42,47
N1:3792;chr01;3719;3865;;4,35;6;89,25;28,069
N1:4082;chr01;4009;4155;;3,01;5;100;38,493
N1:4306;chr01;4233;4379;;3,96;6;100;24,147
N1:4528;chr01;4455;4601;;1,98;3;100;39,051
N1:4682;chr01;4609;4755;;2,67;4;80,5;17,914
N1:4978;chr01;4905;5051;;5,56;6;86,5;7,367
N1:5181;chr01;5108;5254;"+7*:SUT432; ";4,91;6;100;12,329
N1:5332;chr01;5259;5405;"+6:SUT432; ";3,98;4;100;2,082
N1:5484;chr01;5411;5557;"+5:SUT432; ";1,79;3;12;25,865
N1:5656;chr01;5583;5729;"+4:SUT432; ";3,28;4;58,33;13,226
N1:5806;chr01;5733;5879;"+3:SUT432; ";4,41;5;85,67;9,731
N1:5966;chr01;5893;6039;"+2:SUT432; ";2,24;3;50,5;17,214
N1:6134;chr01;6061;6207;"+1:SUT432; ";4,67;6;84,5;13,837
N1:6303;chr01;6230;6376;"0:SUT432; ";3,16;4;80,5;16,673
N1:6602;chr01;6529;6675;;3,30;4;98,5;12,42
N1:6804;chr01;6731;6877;;1,25;3;45;35,005
N1:6953;chr01;6880;7026;;2,48;4;80,5;30,226
N1:7163;chr01;7090;7236;"+13*:YAL067C; ";1,98;2;-1;3,536
N1:7314;chr01;7241;7387;"+12:YAL067C; ";4,74;6;97,25;32,078
N1:7608;chr01;7535;7681;"+10:YAL067C; ";3,62;6;100;22,695
N1:7787;chr01;7714;7860;"+9:YAL067C; ";4,78;5;96,33;5,771
N1:7936;chr01;7863;8009;"+8:YAL067C; ";1,93;2;61;6,364
N1:8119;chr01;8046;8192;"+7:YAL067C; ";3,60;6;100;26,169
N1:8304;chr01;8231;8377;"+6:YAL067C; ";4,03;6;100;24,768
N1:8466;chr01;8393;8539;"+5:YAL067C; ";2,62;5;72,33;31,832
N1:8698;chr01;8625;8771;"+4:YAL067C; ";2,33;5;100;37,265
N1:8973;chr01;8900;9046;"+2:YAL067C; ";1,98;4;99;36,068
N1:9151;chr01;9078;9224;"0:YAL067C; -1:SUT001; ";3,08;5;76;31,571
N1:9434;chr01;9361;9507;"+1:SUT001; ";3,05;6;100;25,121
N1:9596;chr01;9523;9669;"+2*:SUT001; ";3,83;5;85,33;15,515
N1:9761;chr01;9688;9834;;4,65;6;97,25;17,792
N1:9941;chr01;9868;10014;;4,50;5;62;9,23
N1:10118;chr01;10045;10191;;3,20;5;69,67;23,392
N1:10282;chr01;10209;10355;;1,81;2;100;10,607
N1:10460;chr01;10387;10533;;4,64;6;100;13,982
N1:10765;chr01;10692;10838;"0:Unit005; +3*:CUT436; ";4,93;6;100;12,506
N1:10948;chr01;10875;11021;"+1*:Unit005; +2:CUT436; ";4,51;5;100;8,701
N1:11133;chr01;11060;11206;"+1:CUT436; ";1,97;3;30,5;29,939
N1:11364;chr01;11291;11437;"+5*:YAL065C; -1:CUT436; ";1,74;3;46,5;33,561
N1:11535;chr01;11462;11608;"+4:YAL065C; ";4,83;5;61;5,099
N1:11696;chr01;11623;11769;"-1:YAL064W-B; +3:YAL065C; ";5,26;6;89,5;9,968
N1:11862;chr01;11789;11935;"0:YAL064W-B; +2:YAL065C; ";1,10;3;100;41,509
N1:12071;chr01;11998;12144;"+1:YAL064W-B; 0:YAL065C; ";3,34;4;50;12,473
N1:12456;chr01;12383;12529;"+3:YAL064W-B; ";1,87;4;81;34,769
N1:12768;chr01;12695;12841;;2,76;4;100;30,8
N1:12923;chr01;12850;12996;;2,37;3;100;14,844
N1:13258;chr01;13185;13331;"+4*:YAL064C-A; ";2,93;5;74,33;25,917
N1:13458;chr01;13385;13531;"+3:YAL064C-A; ";3,39;6;98;41,998
N1:13621;chr01;13548;13694;"+2:YAL064C-A; ";1,71;4;84,5;41,468
N1:13835;chr01;13762;13908;"+1:YAL064C-A; ";2,55;3;0;12,22
N1:14098;chr01;14025;14171;"-1:YAL064C-A; ";2,86;5;66,67;36,912
N1:14323;chr01;14250;14396;;4,20;5;82,67;11,546
N1:14501;chr01;14428;14574;;2,48;5;88;29,643
N1:14821;chr01;14748;14894;;2,62;4;58,5;19,883
N1:15002;chr01;14929;15075;;2,65;5;33,67;25,638
N1:15198;chr01;15125;15271;;2,70;4;100;19,841
N1:15368;chr01;15295;15441;;3,24;4;100;14,376
N1:15535;chr01;15462;15608;;3,04;4;70,5;16,153
N1:15724;chr01;15651;15797;;2,03;4;50;48,941
N1:15962;chr01;15889;16035;;3,08;5;57;22,399
N1:16240;chr01;16167;16313;;2,75;5;99;23,328
N1:16432;chr01;16359;16505;;2,37;4;43;20,998
N1:16642;chr01;16569;16715;;3,98;5;100;13,126
N1:16799;chr01;16726;16872;;2,85;3;67;6,658
N1:16992;chr01;16919;17065;;1,81;3;3;36,856
N1:17145;chr01;17072;17218;;3,34;4;8,5;12,659
N1:17320;chr01;17247;17393;;3,64;5;100;16,817
N1:17470;chr01;17397;17543;;1,09;3;64;28,844
N1:17645;chr01;17572;17718;;2,75;5;75,33;32,879
N1:17871;chr01;17798;17944;;2,77;4;83;26,437
N1:18039;chr01;17966;18112;;1,77;3;23;24,637
N1:18221;chr01;18148;18294;;4,84;5;85,67;4,95
N1:18392;chr01;18319;18465;;5,14;6;73,25;13,357
N1:18574;chr01;18501;18647;;3,40;4;71;11,413
N1:18877;chr01;18804;18950;;3,18;4;50;15,064
N1:19055;chr01;18982;19128;;3,24;5;51,67;22,777
N1:19247;chr01;19174;19320;;3,00;4;65,5;24,554
N1:19423;chr01;19350;19496;;2,40;3;24;14,422
N1:19589;chr01;19516;19662;;2,95;5;46,67;33,878
N1:19743;chr01;19670;19816;;1,86;2;-1;9,192
N1:19932;chr01;19859;20005;;2,37;4;88,5;33,995
N1:20147;chr01;20074;20220;;2,83;4;50;22,187
N1:20302;chr01;20229;20375;;3,34;5;55,67;27,273
N1:20630;chr01;20557;20703;;3,68;4;87;8,287
N1:20798;chr01;20725;20871;;3,89;4;57;4,717
N1:20969;chr01;20896;21042;;1,95;2;53;5,657
N1:21230;chr01;21157;21303;"-1:YAL064W; ";1,93;4;62,5;51,183
N1:21400;chr01;21327;21473;"0:YAL064W; ";5,62;6;100;6,743
N1:21549;chr01;21476;21622;"+1:YAL064W; ";2,70;3;100;9,713
N1:21747;chr01;21674;21820;"+2:YAL064W; ";4,31;5;97;11,437
N1:21894;chr01;21821;21967;"+3:YAL064W; ";4,23;5;46,67;11,61
N1:22049;chr01;21976;22122;"+4*:YAL064W; ";1,76;3;0;41,581
N1:22213;chr01;22140;22286;"+4*:YAL063C-A; ";2,06;4;67;47,868
N1:22401;chr01;22328;22474;"+3:YAL063C-A; ";1,00;2;69;39,598
N1:22568;chr01;22495;22641;"+2:YAL063C-A; ";3,10;4;83,5;17,671
N1:22738;chr01;22665;22811;"+1:YAL063C-A; ";3,98;6;80;30,265
N1:22909;chr01;22836;22982;"-1:YAL063C-A; ";1,95;2;-1;5,657
N1:23077;chr01;23004;23150;;1,89;4;50;37,568
N1:23235;chr01;23162;23308;;3,86;6;82,25;21,732
N1:23426;chr01;23353;23499;;2,49;4;34;24,933
N1:23584;chr01;23511;23657;;2,96;4;77;21,884
N1:23790;chr01;23717;23863;"+27*:YAL063C; ";2,57;3;32;11,846
N1:24008;chr01;23935;24081;"+26:YAL063C; ";2,56;4;50;22,247
N1:24293;chr01;24220;24366;"+24:YAL063C; ";2,02;4;50;34,951
N1:24516;chr01;24443;24589;"+23:YAL063C; ";2,18;4;50;22,583
N1:24686;chr01;24613;24759;"+22:YAL063C; ";1,86;2;100;9,192
N1:24880;chr01;24807;24953;"+21:YAL063C; ";3,87;5;46,33;20,224
N1:25091;chr01;25018;25164;"+20:YAL063C; ";3,03;4;70;19,721
N1:25407;chr01;25334;25480;"+18:YAL063C; ";3,89;5;77,33;19,715
N1:25579;chr01;25506;25652;"+17:YAL063C; ";1,66;3;100;33,171
N1:25839;chr01;25766;25912;"+15:YAL063C; ";1,62;4;50;45,346
N1:26101;chr01;26028;26174;"+13:YAL063C; ";1,28;2;100;22,627
N1:26380;chr01;26307;26453;"+11:YAL063C; ";1,82;3;100;32,909
N1:26590;chr01;26517;26663;"+10:YAL063C; ";1,00;2;-1;51,619
N1:26787;chr01;26714;26860;"+9:YAL063C; ";1,09;3;100;43,547
N1:26994;chr01;26921;27067;"+8:YAL063C; ";1,06;3;100;53,379
N1:27277;chr01;27204;27350;"+6:YAL063C; ";3,97;6;100;18,652
N1:27437;chr01;27364;27510;"+5:YAL063C; ";2,09;5;73,67;37,487
N1:27650;chr01;27577;27723;"+4:YAL063C; ";2,96;5;83,33;43,224
N1:27919;chr01;27846;27992;"+2:YAL063C; ";3,03;6;100;32,048
N1:28168;chr01;28095;28241;"+10*:SUT433; 0:YAL063C; ";3,01;4;83,5;17,933
N1:28324;chr01;28251;28397;"+9:SUT433; -1:YAL063C; ";4,93;6;86,5;12,172
N1:28490;chr01;28417;28563;"+8:SUT433; ";4,66;6;99,25;15,029
N1:28676;chr01;28603;28749;"+7:SUT433; ";1,02;2;30,5;33,941
N1:28942;chr01;28869;29015;"+5:SUT433; ";4,47;6;98;15,556
N1:29156;chr01;29083;29229;"+4:SUT433; ";2,35;6;86;46,9
N1:29358;chr01;29285;29431;"+3:SUT433; ";5,25;6;89,5;9,975
N1:29528;chr01;29455;29601;"+2:SUT433; ";3,66;5;64,67;16,196
N1:29713;chr01;29640;29786;"+1:SUT433; ";5,29;6;85,25;9,675
N1:29936;chr01;29863;30009;"-1:CUT001; -1:SUT433; ";2,15;3;50;19,732
N1:30195;chr01;30122;30268;"+1:CUT001; ";3,38;5;89;19,545
N1:30389;chr01;30316;30462;"+2:CUT001; ";4,03;6;89;33,112
N1:30558;chr01;30485;30631;"+3:CUT001; +3*:CUT437; ";3,81;4;67;6,218
N1:30714;chr01;30641;30787;"+4:CUT001; +2:CUT437; ";4,79;6;88,25;14,247
N1:30893;chr01;30820;30966;"+5*:CUT001; -1:YAL062W; +1:CUT437; ";2,98;3;34;2,517
N1:31043;chr01;30970;31116;"0:YAL062W; -1:CUT437; ";1,96;2;9;4,95
N1:31202;chr01;31129;31275;"+1:YAL062W; ";3,75;4;80,5;7,136
N1:31380;chr01;31307;31453;"+2:YAL062W; ";2,36;3;32;15,133
N1:31589;chr01;31516;31662;"+7*:SUT434; +3*:YAL062W; ";2,14;4;70;34,394
N1:31784;chr01;31711;31857;"+6:SUT434; ";2,92;4;100;18,209
N1:31954;chr01;31881;32027;"+5:SUT434; ";2,83;5;91,75;25,714
N1:32117;chr01;32044;32190;"+4:SUT434; ";2,77;5;100;28,004
N1:32336;chr01;32263;32409;"+3:SUT434; ";2,89;3;100;5,686
N1:32512;chr01;32439;32585;"+2:SUT434; ";3,76;5;77,67;24,692
N1:32719;chr01;32646;32792;"+1:SUT434; ";4,17;5;100;11,739
N1:32915;chr01;32842;32988;"-1:SUT434; ";3,45;6;95,25;24,186
N1:33205;chr01;33132;33278;"-1:YAL061W; +8*:SUT435; ";5,29;6;100;9,642
N1:33363;chr01;33290;33436;"+1:YAL061W; +7:SUT435; ";4,04;6;80,75;19,107
N1:33555;chr01;33482;33628;"+2:YAL061W; +6:SUT435; ";3,97;6;100;18,691
N1:33740;chr01;33667;33813;"+3:YAL061W; +5:SUT435; ";3,42;5;82;31,879
N1:34016;chr01;33943;34089;"+5:YAL061W; +3:SUT435; ";2,30;3;100;15,948
N1:34195;chr01;34122;34268;"+6:YAL061W; +2:SUT435; ";2,25;3;100;16,523
N1:34345;chr01;34272;34418;"+7:YAL061W; +1:SUT435; ";3,40;5;100;20,403
